㐷	U+3437
舱	U+8231
舻	U+823B
艣	U+8263
艰	U+8270
艺	U+827A
节	U+8282
芈	U+8288
芗	U+8297
芜	U+829C
苁	U+82C1
苇	U+82C7
苈	U+82C8
苋	U+82CB
苌	U+82CC
苍	U+82CD
苎	U+82CE
茎	U+830E
茏	U+830F
茑	U+8311
茔	U+8314
茕	U+8315
茧	U+8327
荙	U+8359
荚	U+835A
荛	U+835B
荜	U+835C
荝	U+835D
荞	U+835E
荟	U+835F
荠	U+8360
荡	U+8361
荤	U+8364
荥	U+8365
荦	U+8366
荧	U+8367
荨	U+8368
荩	U+8369
荪	U+836A
荫	U+836B
荬	U+836C
荭	U+836D
荮	U+836E
药	U+836F
莱	U+83B1
莲	U+83B2
莳	U+83B3
莴	U+83B4
莶	U+83B6
获	U+83B7
莸	U+83B8
莹	U+83B9
莺	U+83BA
莼	U+83BC
菕	U+83D5
萚	U+841A
萤	U+8424
营	U+8425
萦	U+8426
萧	U+8427
萨	U+8428
葝	U+845D
葤	U+8464
蒀	U+8480
蒇	U+8487
蒉	U+8489
蒋	U+848B
蒌	U+848C
蒏	U+848F
蓝	U+84DD
蓟	U+84DF
蓠	U+84E0
蓣	U+84E3
蓥	U+84E5
蓦	U+84E6
蔄	U+8504
蔷	U+8537
蔹	U+8539
蔺	U+853A
蔼	U+853C
蕒	U+8552
蕰	U+8570
蕲	U+8572
蕳	U+8573
蕴	U+8574
蕷	U+8577
蕽	U+857D
薘	U+8598
薮	U+85AE
薳	U+85B3
薵	U+85B5
藓	U+85D3
蘟	U+861F
虉	U+8649
虏	U+864F
虑	U+8651
虚	U+865A
虮	U+866E
虽	U+867D
虿	U+867F
蚀	U+8680
蚂	U+8682
蚃	U+8683
蚝	U+869D
蚬	U+86AC
蛊	U+86CA
蛎	U+86CE
蛏	U+86CF
蛱	U+86F1
蛲	U+86F2
蛳	U+86F3
蛴	U+86F4
蜕	U+8715
蜗	U+8717
蝇	U+8747
蝈	U+8748
蝉	U+8749
蝾	U+877E
螀	U+8780
螨	U+87A8
螮	U+87AE
蟂	U+87C2
蟎	U+87CE
蟏	U+87CF
蟘	U+87D8
蟜	U+87DC
蠀	U+8800
蠦	U+8826
蠾	U+883E
衆	U+8846
衔	U+8854
衬	U+886C
袅	U+8885
袆	U+8886
袭	U+88AD
袯	U+88AF
装	U+88C5
裆	U+88C6
裈	U+88C8
裢	U+88E2
裣	U+88E3
裤	U+88E4
裥	U+88E5
褛	U+891B
褴	U+8934
襇	U+8947
襕	U+8955
襰	U+8970
覎	U+898E
覹	U+89B9
见	U+89C1
观	U+89C2
觃	U+89C3
规	U+89C4
觅	U+89C5
视	U+89C6
觇	U+89C7
览	U+89C8
觉	U+89C9
觊	U+89CA
觋	U+89CB
觌	U+89CC
觍	U+89CD
觎	U+89CE
觏	U+89CF
觐	U+89D0
觑	U+89D1
觞	U+89DE
触	U+89E6
觯	U+89EF
訁	U+8A01
訚	U+8A1A
訜	U+8A1C
訨	U+8A28
詊	U+8A4A
詑	U+8A51
詓	U+8A53
詝	U+8A5D
詟	U+8A5F
詪	U+8A6A
詷	U+8A77
誊	U+8A8A
誫	U+8AAB
誳	U+8AB3
誴	U+8AB4
誷	U+8AB7
誺	U+8ABA
諣	U+8AE3
諥	U+8AE5
諯	U+8AEF
諲	U+8AF2
謆	U+8B06
謉	U+8B09
謱	U+8B31
謸	U+8B38
譂	U+8B42
譅	U+8B45
譑	U+8B51
譓	U+8B53
譞	U+8B5E
譭	U+8B6D
讠	U+8BA0
计	U+8BA1
订	U+8BA2
讣	U+8BA3
认	U+8BA4
讥	U+8BA5
讦	U+8BA6
讧	U+8BA7
讨	U+8BA8
让	U+8BA9
讪	U+8BAA
讫	U+8BAB
讬	U+8BAC
训	U+8BAD
议	U+8BAE
讯	U+8BAF
记	U+8BB0
讱	U+8BB1
讲	U+8BB2
讳	U+8BB3
讴	U+8BB4
讵	U+8BB5
讶	U+8BB6
讷	U+8BB7
许	U+8BB8
讹	U+8BB9
论	U+8BBA
讻	U+8BBB
讼	U+8BBC
讽	U+8BBD
设	U+8BBE
访	U+8BBF
诀	U+8BC0
证	U+8BC1
诂	U+8BC2
诃	U+8BC3
评	U+8BC4
诅	U+8BC5
识	U+8BC6
诇	U+8BC7
诈	U+8BC8
诉	U+8BC9
诊	U+8BCA
诋	U+8BCB
诌	U+8BCC
词	U+8BCD
诎	U+8BCE
诏	U+8BCF
诐	U+8BD0
译	U+8BD1
诒	U+8BD2
诓	U+8BD3
诔	U+8BD4
试	U+8BD5
诖	U+8BD6
诗	U+8BD7
诘	U+8BD8
诙	U+8BD9
诚	U+8BDA
诛	U+8BDB
诜	U+8BDC
话	U+8BDD
诞	U+8BDE
诟	U+8BDF
诠	U+8BE0
诡	U+8BE1
询	U+8BE2
诣	U+8BE3
诤	U+8BE4
该	U+8BE5
详	U+8BE6
诧	U+8BE7
诨	U+8BE8
诩	U+8BE9
诪	U+8BEA
诫	U+8BEB
诬	U+8BEC
语	U+8BED
诮	U+8BEE
误	U+8BEF
诰	U+8BF0
诱	U+8BF1
诲	U+8BF2
诳	U+8BF3
说	U+8BF4
诵	U+8BF5
诶	U+8BF6
请	U+8BF7
诸	U+8BF8
诹	U+8BF9
诺	U+8BFA
读	U+8BFB
诼	U+8BFC
诽	U+8BFD
课	U+8BFE
诿	U+8BFF
谀	U+8C00
谁	U+8C01
谂	U+8C02
调	U+8C03
谄	U+8C04
谅	U+8C05
谆	U+8C06
谇	U+8C07
谈	U+8C08
谉	U+8C09
谊	U+8C0A
谋	U+8C0B
谌	U+8C0C
谍	U+8C0D
谎	U+8C0E
谏	U+8C0F
谐	U+8C10
谑	U+8C11
谒	U+8C12
谓	U+8C13
谔	U+8C14
谕	U+8C15
谖	U+8C16
谗	U+8C17
谘	U+8C18
谙	U+8C19
谚	U+8C1A
谛	U+8C1B
谜	U+8C1C
谝	U+8C1D
谞	U+8C1E
谟	U+8C1F
谠	U+8C20
谡	U+8C21
谢	U+8C22
谣	U+8C23
谤	U+8C24
谥	U+8C25
谦	U+8C26
谧	U+8C27
谨	U+8C28
谩	U+8C29
谪	U+8C2A
谫	U+8C2B
谬	U+8C2C
谭	U+8C2D
谮	U+8C2E
谯	U+8C2F
谰	U+8C30
谱	U+8C31
谲	U+8C32
谳	U+8C33
谴	U+8C34
谵	U+8C35
谶	U+8C36
豮	U+8C6E
賟	U+8CDF
賧	U+8CE7
賰	U+8CF0
贃	U+8D03
贉	U+8D09
贚	U+8D1A
贝	U+8D1D
贞	U+8D1E
负	U+8D1F
贠	U+8D20
贡	U+8D21
财	U+8D22
责	U+8D23
贤	U+8D24
败	U+8D25
账	U+8D26
货	U+8D27
质	U+8D28
贩	U+8D29
贪	U+8D2A
贫	U+8D2B
贬	U+8D2C
购	U+8D2D
贮	U+8D2E
贯	U+8D2F
贰	U+8D30
贱	U+8D31
贲	U+8D32
贳	U+8D33
贴	U+8D34
贵	U+8D35
贶	U+8D36
贷	U+8D37
贸	U+8D38
费	U+8D39
贺	U+8D3A
贻	U+8D3B
贼	U+8D3C
贽	U+8D3D
贾	U+8D3E
贿	U+8D3F
赀	U+8D40
赁	U+8D41
赂	U+8D42
赃	U+8D43
资	U+8D44
赅	U+8D45
赆	U+8D46
赇	U+8D47
赈	U+8D48
赉	U+8D49
赊	U+8D4A
赋	U+8D4B
赌	U+8D4C
赍	U+8D4D
赎	U+8D4E
赏	U+8D4F
赐	U+8D50
赑	U+8D51
赒	U+8D52
赓	U+8D53
赔	U+8D54
赕	U+8D55
赖	U+8D56
赗	U+8D57
赘	U+8D58
赙	U+8D59
赚	U+8D5A
赛	U+8D5B
赜	U+8D5C
赝	U+8D5D
赞	U+8D5E
赟	U+8D5F
赠	U+8D60
赡	U+8D61
赢	U+8D62
赣	U+8D63
赪	U+8D6A
赵	U+8D75
趱	U+8DB1
趸	U+8DB8
跃	U+8DC3
跄	U+8DC4
跞	U+8DDE
践	U+8DF5
跶	U+8DF6
跷	U+8DF7
跸	U+8DF8
跹	U+8DF9
跻	U+8DFB
踌	U+8E0C
踬	U+8E2C
踯	U+8E2F
蹑	U+8E51
蹒	U+8E52
蹿	U+8E7F
躎	U+8E8E
躏	U+8E8F
躘	U+8E98
躜	U+8E9C
躝	U+8E9D
軉	U+8EC9
軕	U+8ED5
軗	U+8ED7
軝	U+8EDD
軤	U+8EE4
軲	U+8EF2
輄	U+8F04
輋	U+8F0B
輢	U+8F22
輨	U+8F28
輼	U+8F3C
轊	U+8F4A
车	U+8F66
轧	U+8F67
轨	U+8F68
轩	U+8F69
轪	U+8F6A
轫	U+8F6B
转	U+8F6C
轭	U+8F6D
轮	U+8F6E
软	U+8F6F
轰	U+8F70
轱	U+8F71
轲	U+8F72
轳	U+8F73
轴	U+8F74
轵	U+8F75
轶	U+8F76
轷	U+8F77
轸	U+8F78
轹	U+8F79
轺	U+8F7A
轻	U+8F7B
轼	U+8F7C
载	U+8F7D
轾	U+8F7E
轿	U+8F7F
辀	U+8F80
辁	U+8F81
辂	U+8F82
较	U+8F83
辄	U+8F84
辅	U+8F85
辆	U+8F86
辇	U+8F87
辈	U+8F88
辉	U+8F89
辊	U+8F8A
辋	U+8F8B
辌	U+8F8C
辍	U+8F8D
辎	U+8F8E
辏	U+8F8F
辐	U+8F90
辑	U+8F91
辒	U+8F92
输	U+8F93
辔	U+8F94
辕	U+8F95
辖	U+8F96
辗	U+8F97
辘	U+8F98
辙	U+8F99
辚	U+8F9A
辩	U+8FA9
辫	U+8FAB
辽	U+8FBD
达	U+8FBE
迈	U+8FC8
运	U+8FD0
进	U+8FDB
违	U+8FDD
连	U+8FDE
迟	U+8FDF
迳	U+8FF3
逦	U+9026
遗	U+9057
遥	U+9065
遱	U+9071
邓	U+9093
邝	U+909D
邬	U+90AC
邮	U+90AE
邹	U+90B9
邺	U+90BA
邻	U+90BB
郏	U+90CF
郐	U+90D0
郓	U+90D3
郦	U+90E6
郧	U+90E7
郸	U+90F8
鄟	U+911F
酂	U+9142
酝	U+915D
酦	U+9166
酱	U+9171
酽	U+917D
酾	U+917E
酿	U+917F
醖	U+9196
醶	U+91B6
释	U+91CA
釒	U+91D2
釚	U+91DA
釟	U+91DF
釨	U+91E8
釲	U+91F2
釳	U+91F3
釴	U+91F4
釺	U+91FA
鈄	U+9204
鈅	U+9205
鈈	U+9208
鈋	U+920B
鈖	U+9216
鈗	U+9217
鈛	U+921B
鈠	U+9220
鈯	U+922F
鈲	U+9232
鉁	U+9241
鉆	U+9246
鉊	U+924A
鉔	U+9254
鉝	U+925D
鉮	U+926E
鉴	U+9274
鉽	U+927D
鉾	U+927E
銁	U+9281
銂	U+9282
銈	U+9288
銊	U+928A
銏	U+928F
鋉	U+92C9
鋗	U+92D7
鋠	U+92E0
鋥	U+92E5
鋶	U+92F6
錀	U+9300
錂	U+9302
錇	U+9307
錈	U+9308
錜	U+931C
錝	U+931D
錤	U+9324
錥	U+9325
錽	U+933D
錾	U+933E
鍀	U+9340
鍁	U+9341
鍃	U+9343
鍄	U+9344
鍈	U+9348
鍒	U+9352
鎄	U+9384
鎇	U+9387
鎈	U+9388
鎌	U+938C
鎍	U+938D
鎓	U+9393
鎙	U+9399
鎣	U+93A3
鎯	U+93AF
鎲	U+93B2
鎶	U+93B6
鎿	U+93BF
鏆	U+93C6
鏉	U+93C9
鏏	U+93CF
鏥	U+93E5
鏰	U+93F0
鏺	U+93FA
鏻	U+93FB
鏾	U+93FE
鐄	U+9404
鐈	U+9408
鐓	U+9413
鐝	U+941D
鐥	U+9425
鐩	U+9429
鐪	U+942A
鐯	U+942F
鐼	U+943C
鐽	U+943D
鑉	U+9449
鑴	U+9474
钅	U+9485
钆	U+9486
钇	U+9487
针	U+9488
钉	U+9489
钊	U+948A
钋	U+948B
钌	U+948C
钍	U+948D
钎	U+948E
钏	U+948F
钐	U+9490
钑	U+9491
钒	U+9492
钓	U+9493
钔	U+9494
钕	U+9495
钖	U+9496
钗	U+9497
钘	U+9498
钙	U+9499
钚	U+949A
钛	U+949B
钜	U+949C
钝	U+949D
钞	U+949E
钟	U+949F
钠	U+94A0
钡	U+94A1
钢	U+94A2
钣	U+94A3
钤	U+94A4
钥	U+94A5
钦	U+94A6
钧	U+94A7
钨	U+94A8
钩	U+94A9
钪	U+94AA
钫	U+94AB
钬	U+94AC
钭	U+94AD
钮	U+94AE
钯	U+94AF
钰	U+94B0
钱	U+94B1
钲	U+94B2
钳	U+94B3
钴	U+94B4
钵	U+94B5
钶	U+94B6
钷	U+94B7
钸	U+94B8
钹	U+94B9
钺	U+94BA
钻	U+94BB
钼	U+94BC
钽	U+94BD
钾	U+94BE
钿	U+94BF
铀	U+94C0
铁	U+94C1
铂	U+94C2
铃	U+94C3
铄	U+94C4
铅	U+94C5
铆	U+94C6
铇	U+94C7
铈	U+94C8
铉	U+94C9
铊	U+94CA
铋	U+94CB
铌	U+94CC
铍	U+94CD
铎	U+94CE
铏	U+94CF
铐	U+94D0
铑	U+94D1
铒	U+94D2
铓	U+94D3
铔	U+94D4
铕	U+94D5
铖	U+94D6
铗	U+94D7
铘	U+94D8
铙	U+94D9
铚	U+94DA
铛	U+94DB
铜	U+94DC
铝	U+94DD
铞	U+94DE
铟	U+94DF
铠	U+94E0
铡	U+94E1
铢	U+94E2
铣	U+94E3
铤	U+94E4
铥	U+94E5
铦	U+94E6
铧	U+94E7
铨	U+94E8
铩	U+94E9
铪	U+94EA
铫	U+94EB
铬	U+94EC
铭	U+94ED
铮	U+94EE
铯	U+94EF
铰	U+94F0
铱	U+94F1
铲	U+94F2
铳	U+94F3
铴	U+94F4
铵	U+94F5
银	U+94F6
铷	U+94F7
铸	U+94F8
铹	U+94F9
铺	U+94FA
铻	U+94FB
铼	U+94FC
铽	U+94FD
链	U+94FE
铿	U+94FF
销	U+9500
锁	U+9501
锂	U+9502
锃	U+9503
锄	U+9504
锅	U+9505
锆	U+9506
锇	U+9507
锈	U+9508
锉	U+9509
锊	U+950A
锋	U+950B
锌	U+950C
锍	U+950D
锎	U+950E
锏	U+950F
锐	U+9510
锑	U+9511
锒	U+9512
锓	U+9513
锔	U+9514
锕	U+9515
锖	U+9516
锗	U+9517
锘	U+9518
错	U+9519
锚	U+951A
锛	U+951B
锜	U+951C
锝	U+951D
锞	U+951E
锟	U+951F
锠	U+9520
锡	U+9521
锢	U+9522
锣	U+9523
锤	U+9524
锥	U+9525
锦	U+9526
锧	U+9527
锨	U+9528
锩	U+9529
锪	U+952A
锫	U+952B
锬	U+952C
锭	U+952D
键	U+952E
锯	U+952F
锰	U+9530
锱	U+9531
锲	U+9532
锳	U+9533
锴	U+9534
锵	U+9535
锶	U+9536
锷	U+9537
锸	U+9538
锹	U+9539
锺	U+953A
锻	U+953B
锼	U+953C
锽	U+953D
锾	U+953E
锿	U+953F
镀	U+9540
镁	U+9541
镂	U+9542
镃	U+9543
镄	U+9544
镅	U+9545
镆	U+9546
镇	U+9547
镈	U+9548
镉	U+9549
镊	U+954A
镋	U+954B
镌	U+954C
镍	U+954D
镎	U+954E
镏	U+954F
镐	U+9550
镑	U+9551
镒	U+9552
镓	U+9553
镔	U+9554
镕	U+9555
镖	U+9556
镗	U+9557
镘	U+9558
镙	U+9559
镚	U+955A
镛	U+955B
镜	U+955C
镝	U+955D
镞	U+955E
镟	U+955F
镠	U+9560
镡	U+9561
镢	U+9562
镣	U+9563
镤	U+9564
镥	U+9565
镦	U+9566
镧	U+9567
镨	U+9568
镩	U+9569
镪	U+956A
镫	U+956B
镬	U+956C
镭	U+956D
镮	U+956E
镯	U+956F
镰	U+9570
镱	U+9571
镲	U+9572
镳	U+9573
镴	U+9574
镵	U+9575
镶	U+9576
长	U+957F
閍	U+958D
閐	U+9590
閗	U+9597
閝	U+959D
閵	U+95B5
门	U+95E8
闩	U+95E9
闪	U+95EA
闫	U+95EB
闬	U+95EC
闭	U+95ED
问	U+95EE
闯	U+95EF
闰	U+95F0
闱	U+95F1
闲	U+95F2
闳	U+95F3
间	U+95F4
闵	U+95F5
闶	U+95F6
闷	U+95F7
闸	U+95F8
闹	U+95F9
闺	U+95FA
闻	U+95FB
闼	U+95FC
闽	U+95FD
闾	U+95FE
闿	U+95FF
阀	U+9600
阁	U+9601
阂	U+9602
阃	U+9603
阄	U+9604
阅	U+9605
阆	U+9606
阇	U+9607
阈	U+9608
阉	U+9609
阊	U+960A
阋	U+960B
阌	U+960C
阍	U+960D
阎	U+960E
阏	U+960F
阐	U+9610
阑	U+9611
阒	U+9612
阓	U+9613
阔	U+9614
阕	U+9615
阖	U+9616
阗	U+9617
阘	U+9618
阙	U+9619
阚	U+961A
阛	U+961B
队	U+961F
阳	U+9633
阴	U+9634
阵	U+9635
阶	U+9636
陆	U+9646
陇	U+9647
陈	U+9648
陉	U+9649
陕	U+9655
陦	U+9666
陧	U+9667
陨	U+9668
险	U+9669
隑	U+9691
隯	U+96AF
雏	U+96CF
雠	U+96E0
雳	U+96F3
雾	U+96FE
霁	U+9701
霭	U+972D
霼	U+973C
靓	U+9753
靔	U+9754
靥	U+9765
鞑	U+9791
鞒	U+9792
鞝	U+979D
鞯	U+97AF
鞽	U+97BD
韚	U+97DA
韛	U+97DB
韦	U+97E6
韧	U+97E7
韨	U+97E8
韩	U+97E9
韪	U+97EA
韫	U+97EB
韬	U+97EC
頔	U+9814
顂	U+9842
顃	U+9843
顅	U+9845
页	U+9875
顶	U+9876
顷	U+9877
顸	U+9878
项	U+9879
顺	U+987A
须	U+987B
顼	U+987C
顽	U+987D
顾	U+987E
顿	U+987F
颀	U+9880
颁	U+9881
颂	U+9882
颃	U+9883
预	U+9884
颅	U+9885
领	U+9886
颇	U+9887
颈	U+9888
颉	U+9889
颊	U+988A
颋	U+988B
颌	U+988C
颍	U+988D
颎	U+988E
颏	U+988F
颐	U+9890
频	U+9891
颒	U+9892
颓	U+9893
颔	U+9894
颕	U+9895
颖	U+9896
颗	U+9897
题	U+9898
颙	U+9899
颚	U+989A
颛	U+989B
颜	U+989C
额	U+989D
颞	U+989E
颟	U+989F
颠	U+98A0
颡	U+98A1
颢	U+98A2
颣	U+98A3
颤	U+98A4
颥	U+98A5
颦	U+98A6
颧	U+98A7
颰	U+98B0
颷	U+98B7
颾	U+98BE
飏	U+98CF
飐	U+98D0
飑	U+98D1
飒	U+98D2
飓	U+98D3
飔	U+98D4
飕	U+98D5
飖	U+98D6
飗	U+98D7
飘	U+98D8
飙	U+98D9
飚	U+98DA
飞	U+98DE
飠	U+98E0
飦	U+98E6
飨	U+98E8
飵	U+98F5
餄	U+9904
餍	U+990D
餎	U+990E
餏	U+990F
餷	U+9937
餸	U+9938
饢	U+9962
饣	U+9963
饤	U+9964
饥	U+9965
饦	U+9966
饧	U+9967
饨	U+9968
饩	U+9969
饪	U+996A
饫	U+996B
饬	U+996C
饭	U+996D
饮	U+996E
饯	U+996F
饰	U+9970
饱	U+9971
饲	U+9972
饳	U+9973
饴	U+9974
饵	U+9975
饶	U+9976
饷	U+9977
饸	U+9978
饹	U+9979
饺	U+997A
饻	U+997B
饼	U+997C
饽	U+997D
饾	U+997E
饿	U+997F
馀	U+9980
馁	U+9981
馂	U+9982
馃	U+9983
馄	U+9984
馅	U+9985
馆	U+9986
馇	U+9987
馈	U+9988
馉	U+9989
馊	U+998A
馋	U+998B
馌	U+998C
馍	U+998D
馎	U+998E
馏	U+998F
馐	U+9990
馑	U+9991
馒	U+9992
馓	U+9993
馔	U+9994
馕	U+9995
馼	U+99BC
駎	U+99CE
駚	U+99DA
駤	U+99E4
駧	U+99E7
駩	U+99E9
駫	U+99EB
駶	U+99F6
騔	U+9A14
騚	U+9A1A
騝	U+9A1D
騟	U+9A1F
騪	U+9A2A
騱	U+9A31
騴	U+9A34
騻	U+9A3B
騼	U+9A3C
驋	U+9A4B
驓	U+9A53
驙	U+9A59
驨	U+9A68
驫	U+9A6B
马	U+9A6C
驭	U+9A6D
驮	U+9A6E
驯	U+9A6F
驰	U+9A70
驱	U+9A71
驲	U+9A72
驳	U+9A73
驴	U+9A74
驵	U+9A75
驶	U+9A76
驷	U+9A77
驸	U+9A78
驹	U+9A79
驺	U+9A7A
驻	U+9A7B
驼	U+9A7C
驽	U+9A7D
驾	U+9A7E
驿	U+9A7F
骀	U+9A80
骁	U+9A81
骂	U+9A82
骃	U+9A83
骄	U+9A84
骅	U+9A85
骆	U+9A86
骇	U+9A87
骈	U+9A88
骉	U+9A89
骊	U+9A8A
骋	U+9A8B
验	U+9A8C
骍	U+9A8D
骎	U+9A8E
骏	U+9A8F
骐	U+9A90
骑	U+9A91
骒	U+9A92
骓	U+9A93
骔	U+9A94
骕	U+9A95
骖	U+9A96
骗	U+9A97
骘	U+9A98
骙	U+9A99
骚	U+9A9A
骛	U+9A9B
骜	U+9A9C
骝	U+9A9D
骞	U+9A9E
骟	U+9A9F
骠	U+9AA0
骡	U+9AA1
骢	U+9AA2
骣	U+9AA3
骤	U+9AA4
骥	U+9AA5
骦	U+9AA6
骧	U+9AA7
髅	U+9AC5
髋	U+9ACB
髌	U+9ACC
鬓	U+9B13
鬠	U+9B20
鬶	U+9B36
鬹	U+9B39
魇	U+9B47
魉	U+9B49
魛	U+9B5B
魢	U+9B62
魥	U+9B65
魵	U+9B75
魺	U+9B7A
魽	U+9B7D
鮁	U+9B81
鮃	U+9B83
鮄	U+9B84
鮈	U+9B88
鮊	U+9B8A
鮍	U+9B8D
鮜	U+9B9C
鮣	U+9BA3
鮤	U+9BA4
鮯	U+9BAF
鮰	U+9BB0
鮳	U+9BB3
鮵	U+9BB5
鮶	U+9BB6
鮺	U+9BBA
鯄	U+9BC4
鯆	U+9BC6
鯒	U+9BD2
鯕	U+9BD5
鯝	U+9BDD
鯞	U+9BDE
鯬	U+9BEC
鯱	U+9BF1
鯴	U+9BF4
鯻	U+9BFB
鯾	U+9BFE
鰁	U+9C01
鰃	U+9C03
鰆	U+9C06
鰊	U+9C0A
鰋	U+9C0B
鰏	U+9C0F
鰑	U+9C11
鰟	U+9C1F
鰠	U+9C20
鰤	U+9C24
鰦	U+9C26
鰧	U+9C27
鰨	U+9C28
鰳	U+9C33
鰶	U+9C36
鰺	U+9C3A
鰽	U+9C3D
鱀	U+9C40
鱂	U+9C42
鱅	U+9C45
鱊	U+9C4A
鱚	U+9C5A
鱝	U+9C5D
鱢	U+9C62
鱤	U+9C64
鱯	U+9C6F
鱲	U+9C72
鱼	U+9C7C
鱽	U+9C7D
鱾	U+9C7E
鱿	U+9C7F
鲀	U+9C80
鲁	U+9C81
鲂	U+9C82
鲃	U+9C83
鲄	U+9C84
鲅	U+9C85
鲆	U+9C86
鲇	U+9C87
鲈	U+9C88
鲉	U+9C89
鲊	U+9C8A
鲋	U+9C8B
鲌	U+9C8C
鲍	U+9C8D
鲎	U+9C8E
鲏	U+9C8F
鲐	U+9C90
鲑	U+9C91
鲒	U+9C92
鲓	U+9C93
鲔	U+9C94
鲕	U+9C95
鲖	U+9C96
鲗	U+9C97
鲘	U+9C98
鲙	U+9C99
鲚	U+9C9A
鲛	U+9C9B
鲜	U+9C9C
鲝	U+9C9D
鲞	U+9C9E
鲟	U+9C9F
鲠	U+9CA0
鲡	U+9CA1
鲢	U+9CA2
鲣	U+9CA3
鲤	U+9CA4
鲥	U+9CA5
鲦	U+9CA6
鲧	U+9CA7
鲨	U+9CA8
鲩	U+9CA9
鲪	U+9CAA
鲫	U+9CAB
鲬	U+9CAC
鲭	U+9CAD
鲮	U+9CAE
鲯	U+9CAF
鲰	U+9CB0
鲱	U+9CB1
鲲	U+9CB2
鲳	U+9CB3
鲴	U+9CB4
鲵	U+9CB5
鲶	U+9CB6
鲷	U+9CB7
鲸	U+9CB8
鲹	U+9CB9
鲺	U+9CBA
鲻	U+9CBB
鲼	U+9CBC
鲽	U+9CBD
鲾	U+9CBE
鲿	U+9CBF
鳀	U+9CC0
鳁	U+9CC1
鳂	U+9CC2
鳃	U+9CC3
鳄	U+9CC4
鳅	U+9CC5
鳆	U+9CC6
鳇	U+9CC7
鳈	U+9CC8
鳉	U+9CC9
鳊	U+9CCA
鳋	U+9CCB
鳌	U+9CCC
鳍	U+9CCD
鳎	U+9CCE
鳏	U+9CCF
鳐	U+9CD0
鳑	U+9CD1
鳒	U+9CD2
鳓	U+9CD3
鳔	U+9CD4
鳕	U+9CD5
鳖	U+9CD6
鳗	U+9CD7
鳘	U+9CD8
鳙	U+9CD9
鳚	U+9CDA
鳛	U+9CDB
鳜	U+9CDC
鳝	U+9CDD
鳞	U+9CDE
鳟	U+9CDF
鳠	U+9CE0
鳡	U+9CE1
鳢	U+9CE2
鳣	U+9CE3
鳤	U+9CE4
鳼	U+9CFC
鳾	U+9CFE
鴀	U+9D00
鴅	U+9D05
鴔	U+9D14
鴜	U+9D1C
鴮	U+9D2E
鴯	U+9D2F
鴲	U+9D32
鵏	U+9D4F
鵐	U+9D50
鵫	U+9D6B
鵾	U+9D7E
鶇	U+9D87
鶌	U+9D8C
鶓	U+9D93
鶠	U+9DA0
鶥	U+9DA5
鶦	U+9DA6
鶭	U+9DAD
鶰	U+9DB0
鶲	U+9DB2
鷅	U+9DC5
鷉	U+9DC9
鷐	U+9DD0
鷔	U+9DD4
鷣	U+9DE3
鷤	U+9DE4
鷨	U+9DE8
鷭	U+9DED
鷷	U+9DF7
鷿	U+9DFF
鸋	U+9E0B
鸌	U+9E0C
鸗	U+9E17
鸘	U+9E18
鸟	U+9E1F
鸠	U+9E20
鸡	U+9E21
鸢	U+9E22
鸣	U+9E23
鸤	U+9E24
鸥	U+9E25
鸦	U+9E26
鸧	U+9E27
鸨	U+9E28
鸩	U+9E29
鸪	U+9E2A
鸫	U+9E2B
鸬	U+9E2C
鸭	U+9E2D
鸮	U+9E2E
鸯	U+9E2F
鸰	U+9E30
鸱	U+9E31
鸲	U+9E32
鸳	U+9E33
鸴	U+9E34
鸵	U+9E35
鸶	U+9E36
鸷	U+9E37
鸸	U+9E38
鸹	U+9E39
鸺	U+9E3A
鸻	U+9E3B
鸼	U+9E3C
鸽	U+9E3D
鸾	U+9E3E
鸿	U+9E3F
鹀	U+9E40
鹁	U+9E41
鹂	U+9E42
鹃	U+9E43
鹄	U+9E44
鹅	U+9E45
鹆	U+9E46
鹇	U+9E47
鹈	U+9E48
鹉	U+9E49
鹊	U+9E4A
鹋	U+9E4B
鹌	U+9E4C
鹍	U+9E4D
鹎	U+9E4E
鹏	U+9E4F
鹐	U+9E50
鹑	U+9E51
鹒	U+9E52
鹓	U+9E53
鹔	U+9E54
鹕	U+9E55
鹖	U+9E56
鹗	U+9E57
鹘	U+9E58
鹙	U+9E59
鹚	U+9E5A
鹛	U+9E5B
鹜	U+9E5C
鹝	U+9E5D
鹞	U+9E5E
鹟	U+9E5F
鹠	U+9E60
鹡	U+9E61
鹢	U+9E62
鹣	U+9E63
鹤	U+9E64
鹥	U+9E65
鹦	U+9E66
鹧	U+9E67
鹨	U+9E68
鹩	U+9E69
鹪	U+9E6A
鹫	U+9E6B
鹬	U+9E6C
鹭	U+9E6D
鹮	U+9E6E
鹯	U+9E6F
鹰	U+9E70
鹱	U+9E71
鹲	U+9E72
鹳	U+9E73
鹴	U+9E74
鹾	U+9E7E
麬	U+9EAC
麲	U+9EB2
麳	U+9EB3
麷	U+9EB7
麸	U+9EB8
麹	U+9EB9
麺	U+9EBA
黉	U+9EC9
黡	U+9EE1
黩	U+9EE9
黪	U+9EEA
鼋	U+9F0B
鼌	U+9F0C
鼍	U+9F0D
齐	U+9F50
齑	U+9F51
齴	U+9F74
齼	U+9F7C
齿	U+9F7F
龀	U+9F80
龁	U+9F81
龂	U+9F82
龃	U+9F83
龄	U+9F84
龅	U+9F85
龆	U+9F86
龇	U+9F87
